batch_size,blank_count,cell_accuracy,checkpoint,clue_violations,complete_valid,dataset,elapsed_ms,exact,example_id,experiment,invalid,method,runtime_multiplier,seed,unit_conflicts,votes
3,1,0.9629629629629629,checkpoints/sudoku_extreme_hf/checkpoint,3,0,blanks_1,431.28344699999843,0,11,test_time_voting,1,majority,3,0,9,3
3,1,0.8024691358024691,checkpoints/sudoku_extreme_hf/checkpoint,15,1,blanks_1,431.28344699999843,0,11,test_time_voting,1,rerank,3,0,0,3
3,1,0.8271604938271605,checkpoints/sudoku_extreme_hf/checkpoint,14,1,blanks_1,386.93652999999983,0,12,test_time_voting,1,single,3,0,0,3
3,1,0.9135802469135802,checkpoints/sudoku_extreme_hf/checkpoint,7,0,blanks_1,386.93652999999983,0,12,test_time_voting,1,majority,3,0,15,3
3,1,0.9506172839506173,checkpoints/sudoku_extreme_hf/checkpoint,4,1,blanks_1,386.93652999999983,0,12,test_time_voting,1,rerank,3,0,0,3
3,1,0.7407407407407407,checkpoints/sudoku_extreme_hf/checkpoint,20,1,blanks_1,405.6494459999982,0,13,test_time_voting,1,single,3,0,0,3
3,1,0.9506172839506173,checkpoints/sudoku_extreme_hf/checkpoint,4,1,blanks_1,405.6494459999982,0,13,test_time_voting,1,majority,3,0,0,3
3,1,0.9506172839506173,checkpoints/sudoku_extreme_hf/checkpoint,4,1,blanks_1,405.6494459999982,0,13,test_time_voting,1,rerank,3,0,0,3
3,1,0.8765432098765432,checkpoints/sudoku_extreme_hf/checkpoint,10,1,blanks_1,426.1653349999932,0,14,test_time_voting,1,single,3,0,0,3
3,1,0.9259259259259259,checkpoints/sudoku_extreme_hf/checkpoint,6,0,blanks_1,426.1653349999932,0,14,test_time_voting,1,majority,3,0,8,3
3,1,0.8765432098765432,checkpoints/sudoku_extreme_hf/checkpoint,10,1,blanks_1,426.1653349999932,0,14,test_time_voting,1,rerank,3,0,0,3
3,1,1.0,checkpoints/sudoku_extreme_hf/checkpoint,0,1,blanks_1,447.41895699999645,1,15,test_time_voting,0,single,3,0,0,3
3,1,0.9753086419753086,checkpoints/sudoku_extreme_hf/checkpoint,2,0,blanks_1,447.41895699999645,0,15,test_time_voting,1,majority,3,0,6,3
3,1,1.0,checkpoints/sudoku_extreme_hf/checkpoint,0,1,blanks_1,447.41895699999645,1,15,test_time_voting,0,rerank,3,0,0,3
3,2,0.691358024691358,checkpoints/sudoku_extreme_hf/checkpoint,24,0,blanks_2,435.64918300000954,0,0,test_time_voting,1,single,3,0,6,3
3,2,0.8024691358024691,checkpoints/sudoku_extreme_hf/checkpoint,15,0,blanks_2,435.64918300000954,0,0,test_time_voting,1,majority,3,0,16,3
3,2,0.8518518518518519,checkpoints/sudoku_extreme_hf/checkpoint,11,1,blanks_2,435.64918300000954,0,0,test_time_voting,1,rerank,3,0,0,3
3,2,0.8271604938271605,checkpoints/sudoku_extreme_hf/checkpoint,13,1,blanks_2,461.6185389999998,0,1,test_time_voting,1,single,3,0,0,3
3,2,1.0,checkpoints/sudoku_extreme_hf/checkpoint,0,1,blanks_2,461.6185389999998,1,1,test_time_voting,0,majority,3,0,0,3
3,2,1.0,checkpoints/sudoku_extreme_hf/checkpoint,0,1,blanks_2,461.6185389999998,1,1,test_time_voting,0,rerank,3,0,0,3
3,2,1.0,checkpoints/sudoku_extreme_hf/checkpoint,0,1,blanks_2,398.73676199999863,1,2,test_time_voting,0,single,3,0,0,3
3,2,0.9876543209876543,checkpoints/sudoku_extreme_hf/checkpoint,1,0,blanks_2,398.73676199999863,0,2,test_time_voting,1,majority,3,0,3,3
3,2,1.0,checkpoints/sudoku_extreme_hf/checkpoint,0,1,blanks_2,398.73676199999863,1,2,test_time_voting,0,rerank,3,0,0,3
3,2,0.7530864197530864,checkpoints/sudoku_extreme_hf/checkpoint,19,1,blanks_2,387.5838470000019,0,3,test_time_voting,1,single,3,0,0,3
3,2,0.9135802469135802,checkpoints/sudoku_extreme_hf/checkpoint,7,0,blanks_2,387.5838470000019,0,3,test_time_voting,1,majority,3,0,20,3
3,2,0.8395061728395061,checkpoints/sudoku_extreme_hf/checkpoint,12,1,blanks_2,387.5838470000019,0,3,test_time_voting,1,rerank,3,0,0,3
3,2,0.8641975308641975,checkpoints/sudoku_extreme_hf/checkpoint,10,1,blanks_2,446.29966200000126,0,4,test_time_voting,1,single,3,0,0,3
3,2,1.0,checkpoints/sudoku_extreme_hf/checkpoint,0,1,blanks_2,446.29966200000126,1,4,test_time_voting,0,majority,3,0,0,3
3,2,0.9012345679012346,checkpoints/sudoku_extreme_hf/checkpoint,8,1,blanks_2,446.29966200000126,0,4,test_time_voting,1,rerank,3,0,0,3
3,2,0.7160493827160493,checkpoints/sudoku_extreme_hf/checkpoint,22,1,blanks_2,430.8459810000045,0,5,test_time_voting,1,single,3,0,0,3
3,2,0.8024691358024691,checkpoints/sudoku_extreme_hf/checkpoint,15,0,blanks_2,430.8459810000045,0,5,test_time_voting,1,majority,3,0,21,3
3,2,0.8024691358024691,checkpoints/sudoku_extreme_hf/checkpoint,15,1,blanks_2,430.8459810000045,0,5,test_time_voting,1,rerank,3,0,0,3
3,2,0.8271604938271605,checkpoints/sudoku_extreme_hf/checkpoint,14,1,blanks_2,458.8787360000026,0,6,test_time_voting,1,single,3,0,0,3
3,2,0.9259259259259259,checkpoints/sudoku_extreme_hf/checkpoint,6,0,blanks_2,458.8787360000026,0,6,test_time_voting,1,majority,3,0,18,3
3,2,0.8888888888888888,checkpoints/sudoku_extreme_hf/checkpoint,8,1,blanks_2,458.8787360000026,0,6,test_time_voting,1,rerank,3,0,0,3
3,2,0.7037037037037037,checkpoints/sudoku_extreme_hf/checkpoint,23,1,blanks_2,378.68413699999337,0,7,test_time_voting,1,single,3,0,0,3
3,2,0.9259259259259259,checkpoints/sudoku_extreme_hf/checkpoint,6,0,blanks_2,378.68413699999337,0,7,test_time_voting,1,majority,3,0,16,3
3,2,0.8765432098765432,checkpoints/sudoku_extreme_hf/checkpoint,10,1,blanks_2,378.68413699999337,0,7,test_time_voting,1,rerank,3,0,0,3
3,2,0.7037037037037037,checkpoints/sudoku_extreme_hf/checkpoint,24,1,blanks_2,418.88913999999033,0,8,test_time_voting,1,single,3,0,0,3
